Chương,Tên mục,Trang
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Ích mẫu,30
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Hương phụ,33
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Ngải cứu,36
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Bạch đồng nữ,37
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây diếp cá,40
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây hồng hoa,41
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây gai,42
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây hoa cứt lợn,43
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Bán hạ,44
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây bông,47
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Hạt bông,48
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây ngưu tất,48
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây tô mộc,50
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cây rau ngót,52
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Đài hái,53
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cỏ đuôi lươn,54
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Đương quy,55
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Huyết giác,59
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Mướp,60
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Nhội,61
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Ổ rô,63
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Thiên lý,64
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Thược dược,65
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Bạch thược,65
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Xích thược,66
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Bo mẩy,67
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Mít,68
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Cửu lý hương,69
I. Các cây thuốc và vị thuốc chữa bệnh phụ nữ,Duyên hồ sách,70
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bồ công anh,72
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bồ công anh Việt Nam,72
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bồ công anh Trung Quốc,73
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Chỉ thiên,75
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Kim ngân,75
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Cây ké đầu ngựa,78
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Hạ khô thảo,79
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Cây xà sàng,82
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bưởi bung,83
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Cây mã tiền thảo,84
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Con rết,85
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Sài đất,86
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bạch hạc,88
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bạch hoa xà,89
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bảy lá một hoa,90
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bèo cái,92
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bố cu vẽ,93
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Bùng bục,94
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Cà đại hoa vàng,95
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Cào bản,95
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Chó đẻ răng cưa,97
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Cúc liên chi đại,98
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Dâm bụt,99
II. Các cây thuốc và vị thuốc chữa mụn nhọt mẩn ngứa,Ké hoa đào,99
